1,3,3,1.
2,0,0,1.4142135623730951
2,3,3,-0.7071067811865475
3,0,1,1.
3,1,0,1.
4,1,1,1.4142135623730951
4,3,3,-0.7071067811865475
5,0,2,1.
5,2,0,1.
6,1,2,1.
6,2,1,1.
7,2,2,1.4142135623730951
7,3,3,-0.7071067811865475
8,0,0,-2.449489742783178
8,3,3,0.6123724356957945
8,4,4,0.816496580927726
9,0,1,-1.224744871391589
9,1,0,-1.224744871391589
9,4,5,0.816496580927726
9,5,4,0.816496580927726
10,0,0,-1.
10,1,1,-1.
10,3,3,0.5
10,5,5,2.
11,0,1,-1.224744871391589
11,1,0,-1.224744871391589
11,5,6,0.816496580927726
11,6,5,0.816496580927726
12,1,1,-2.449489742783178
12,3,3,0.6123724356957945
12,6,6,0.816496580927726
13,0,2,-1.224744871391589
13,2,0,-1.224744871391589
13,4,7,0.816496580927726
13,7,4,0.816496580927726
14,1,2,-0.7071067811865475
14,2,1,-0.7071067811865475
14,5,7,1.4142135623730951
14,7,5,1.4142135623730951
15,0,2,-0.7071067811865475
15,2,0,-0.7071067811865475
15,6,7,1.4142135623730951
15,7,6,1.4142135623730951
16,1,2,-1.224744871391589
16,2,1,-1.224744871391589
16,6,8,0.816496580927726
16,8,6,0.816496580927726
17,0,0,-1.
17,2,2,-1.
17,3,3,0.5
17,7,7,2.
18,0,1,-0.7071067811865475
18,1,0,-0.7071067811865475
18,7,8,1.4142135623730951
18,8,7,1.4142135623730951
19,1,1,-1.
19,2,2,-1.
19,3,3,0.5
19,8,8,2.
20,0,2,-1.224744871391589
20,2,0,-1.224744871391589
20,7,9,0.816496580927726
20,9,7,0.816496580927726
21,1,2,-1.224744871391589
21,2,1,-1.224744871391589
21,8,9,0.816496580927726
21,9,8,0.816496580927726
22,2,2,-2.449489742783178
22,3,3,0.6123724356957945
22,9,9,0.816496580927726
23,0,0,-2.
23,3,4,1.
23,4,3,1.
24,0,1,-1.
24,1,0,-1.
24,3,5,1.
24,5,3,1.
25,1,1,-2.
25,3,6,1.
25,6,3,1.
26,0,2,-1.
26,2,0,-1.
26,3,7,1.
26,7,3,1.
27,1,2,-1.
27,2,1,-1.
27,3,8,1.
27,8,3,1.
28,2,2,-2.
28,3,9,1.
28,9,3,1.
29,4,6,1.
29,5,5,-2.
29,6,4,1.
30,4,8,1.
30,5,7,-1.
30,7,5,-1.
30,8,4,1.
31,4,9,1.
31,7,7,-2.
31,9,4,1.
32,5,8,1.
32,6,7,-1.
32,7,6,-1.
32,8,5,1.
33,5,9,1.
33,7,8,-1.
33,8,7,-1.
33,9,5,1.
34,6,9,1.
34,8,8,-2.
34,9,6,1.
